;t;NE_G2_Delta;NW_G5_Delta;SE_G6_Delta;SW_G1_Delta;SW_G8_Delta;NE_G2_f;NW_G5_f;SE_G6_f;SW_G1_f;SW_G8_f;NE_G2_V;NW_G5_V;SE_G6_V;SW_G1_V;SW_G8_V;NE_G2_P;NW_G5_P;SE_G6_P;SW_G1_P;SW_G8_P;NE_G2_Q;NW_G5_Q;SE_G6_Q;SW_G1_Q;SW_G8_Q
0;-0.100000001;43.33604506;2.395750641;26.77444675;41.83112114;51.5865669;1;1;1;1;1;1.00999999;1.019999981;1.019999981;1.00999999;1.00999999;379.8931578;80.21306622;218.903183;379.897766;501.4695335;59.32463775;92.92989238;15.49361893;63.96683931;53.05128296
1;-0.090000002;43.33604505;2.395750637;26.77444674;41.83112113;51.58656689;1;1;1;1;1;1.00999999;1.019999981;1.019999981;1.00999999;1.00999999;379.8931579;80.21306622;218.903183;379.8977661;501.4695336;59.32463775;92.92989239;15.49361891;63.96683931;53.05128293
2;-0.080000002;43.33604505;2.395750638;26.77444674;41.83112113;51.58656689;1;1;1;1;1;1.00999999;1.019999981;1.019999981;1.00999999;1.00999999;379.8931578;80.21306622;218.903183;379.897766;501.4695336;59.32463777;92.92989239;15.49361889;63.96683932;53.05128291
3;-0.070000002;43.33604505;2.395750637;26.77444674;41.83112113;51.58656689;1;1;1;1;1;1.00999999;1.019999981;1.019999981;1.00999999;1.00999999;379.8931578;80.21306621;218.903183;379.897766;501.4695336;59.32463778;92.92989239;15.49361888;63.96683933;53.0512829
4;-0.060000002;43.33604505;2.395750637;26.77444674;41.83112113;51.58656689;1;1;1;1;1;1.00999999;1.019999981;1.019999981;1.00999999;1.00999999;379.8931578;80.2130662;218.903183;379.897766;501.4695336;59.32463778;92.92989238;15.49361887;63.96683933;53.05128289
5;-0.050000003;43.33604505;2.395750636;26.77444674;41.83112113;51.58656689;1;1;1;1;1;1.00999999;1.019999981;1.019999981;1.00999999;1.00999999;379.8931578;80.21306619;218.903183;379.897766;501.4695336;59.32463779;92.92989238;15.49361886;63.96683933;53.05128289
6;-0.040000003;43.33604505;2.395750636;26.77444674;41.83112113;51.58656689;1;1;1;1;1;1.00999999;1.019999981;1.019999981;1.00999999;1.00999999;379.8931578;80.21306619;218.903183;379.897766;501.4695336;59.32463779;92.92989237;15.49361885;63.96683933;53.05128288
7;-0.030000003;43.33604505;2.395750635;26.77444674;41.83112113;51.58656689;1;1;1;1;1;1.00999999;1.019999981;1.019999981;1.00999999;1.00999999;379.8931578;80.21306617;218.903183;379.897766;501.4695336;59.32463779;92.92989237;15.49361884;63.96683934;53.05128288
8;-0.020000003;43.33604505;2.395750635;26.77444674;41.83112113;51.58656689;1;1;1;1;1;1.00999999;1.019999981;1.019999981;1.00999999;1.00999999;379.8931578;80.21306616;218.903183;379.897766;501.4695336;59.3246378;92.92989236;15.49361882;63.96683934;53.05128287
9;-0.010000004;43.33604505;2.395750634;26.77444674;41.83112113;51.58656689;1;1;1;1;1;1.00999999;1.019999981;1.019999981;1.00999999;1.00999999;379.8931578;80.21306615;218.903183;379.897766;501.4695336;59.32463781;92.92989235;15.49361881;63.96683935;53.05128286
