logid,runid,val_loss,Frechet_distance,inference_time,training_time,dataset,num_neurons,num_epochs,learning_rate,loss_coefficient,batch_size,batch_dur_idx,batch_range_idx,mert_batch,lambda,ODEmethod,rel_tol,abs_tol,val_freq,loss_function,regularization,interpolation_type,num_samples,optimizer
0,1,3.077887296676636,2.6721250116825104,0.0788896740123163,0.9458381649747024,normalized_interpolated_g1_100_samples.pt,25,10,0.01,100,10,3,22,False,0.005,dopri5,1e-07,1e-09,5,MSELoss(),,quadratic,400,Adam
1,1,0.3426835238933563,0.8870061849473728,0.1139452049974352,1.607945305033354,normalized_interpolated_g1_100_samples.pt,25,20,0.01,100,10,3,22,False,0.005,dopri5,1e-07,1e-09,5,MSELoss(),,quadratic,400,Adam
2,1,0.1377491950988769,0.6810354143381119,0.1896804150019306,4.128340890019899,normalized_interpolated_g1_100_samples.pt,25,50,0.01,100,10,3,22,False,0.005,dopri5,1e-07,1e-09,5,MSELoss(),,quadratic,400,Adam
3,1,0.2557256519794464,0.7750462412834167,0.1722577010223176,9.177086556883296,normalized_interpolated_g1_100_samples.pt,25,100,0.01,100,10,3,22,False,0.005,dopri5,1e-07,1e-09,5,MSELoss(),,quadratic,400,Adam
4,1,0.1814777255058288,0.6407738327980042,0.1786878150014672,14.515155569068156,normalized_interpolated_g1_100_samples.pt,25,150,0.01,100,10,3,22,False,0.005,dopri5,1e-07,1e-09,5,MSELoss(),,quadratic,400,Adam
5,1,0.071736954152584,0.5185556948184967,0.1916450390126556,19.72432674712036,normalized_interpolated_g1_100_samples.pt,25,200,0.01,100,10,3,22,False,0.005,dopri5,1e-07,1e-09,5,MSELoss(),,quadratic,400,Adam
6,1,2.659071683883667,2.9705896124379656,0.0897072569932788,0.8388620070472825,normalized_interpolated_g2_100_samples.pt,25,10,0.01,100,10,3,22,False,0.005,dopri5,1e-07,1e-09,5,MSELoss(),,quadratic,400,Adam
7,1,0.3245481848716736,0.8377753252036981,0.1396123190061189,2.286805027019,normalized_interpolated_g2_100_samples.pt,25,20,0.01,100,10,3,22,False,0.005,dopri5,1e-07,1e-09,5,MSELoss(),,quadratic,400,Adam
8,1,0.0729727894067764,0.4878700017929077,0.1273092790215741,4.646512130042538,normalized_interpolated_g2_100_samples.pt,25,50,0.01,100,10,3,22,False,0.005,dopri5,1e-07,1e-09,5,MSELoss(),,quadratic,400,Adam
9,1,0.146252691745758,0.6345746457576752,0.2178358020028099,10.874874605011428,normalized_interpolated_g2_100_samples.pt,25,100,0.01,100,10,3,22,False,0.005,dopri5,1e-07,1e-09,5,MSELoss(),,quadratic,400,Adam
