logid,runid,val_loss,Frechet_distance,inference_time,training_time,dataset,num_neurons,num_epochs,learning_rate,loss_coefficient,batch_size,batch_dur_idx,batch_range_idx,mert_batch,lambda,ODEmethod,rel_tol,abs_tol,val_freq,loss_function,regularization,interpolation_type,num_samples,optimizer
0,1,1.3353952169418335,2.5307768484406705,0.1340809999999983,0.9344623000000034,mean0_interpolated_g1_100_samples.pt,25,10,0.01,100,10,3,22,False,0.005,dopri5,1e-07,1e-09,5,MSELoss(),,quadratic,400,Adam
1,1,1.111987829208374,2.12345107897636,0.2037977999999967,2.1773912000000024,mean0_interpolated_g1_100_samples.pt,25,20,0.01,100,10,3,22,False,0.005,dopri5,1e-07,1e-09,5,MSELoss(),,quadratic,400,Adam
2,1,0.6353907585144043,2.039716779970863,0.2801216000000011,6.876119700000007,mean0_interpolated_g1_100_samples.pt,25,50,0.01,100,10,3,22,False,0.005,dopri5,1e-07,1e-09,5,MSELoss(),,quadratic,400,Adam
3,1,1.263892412185669,2.0125055220929475,0.5292180000000002,16.731419300000017,mean0_interpolated_g1_100_samples.pt,25,100,0.01,100,10,3,22,False,0.005,dopri5,1e-07,1e-09,5,MSELoss(),,quadratic,400,Adam
4,1,2.697238206863404,1.9984984907608088,0.5864061000000049,26.94237090000008,mean0_interpolated_g1_100_samples.pt,25,150,0.01,100,10,3,22,False,0.005,dopri5,1e-07,1e-09,5,MSELoss(),,quadratic,400,Adam
5,1,1.351501703262329,1.81795600605956,1.1298068999999913,37.63037820000002,mean0_interpolated_g1_100_samples.pt,25,200,0.01,100,10,3,22,False,0.005,dopri5,1e-07,1e-09,5,MSELoss(),,quadratic,400,Adam
6,1,1.106897473335266,2.1531224467362606,0.1474927999999948,0.9592929999999598,mean0_interpolated_g2_100_samples.pt,25,10,0.01,100,10,3,22,False,0.005,dopri5,1e-07,1e-09,5,MSELoss(),,quadratic,400,Adam
7,1,1.0956733226776123,2.2285155765985074,0.1739733999999941,2.062739299999976,mean0_interpolated_g2_100_samples.pt,25,20,0.01,100,10,3,22,False,0.005,dopri5,1e-07,1e-09,5,MSELoss(),,quadratic,400,Adam
8,1,0.5990682244300842,2.052982511371265,0.2928258000000028,6.744324299999974,mean0_interpolated_g2_100_samples.pt,25,50,0.01,100,10,3,22,False,0.005,dopri5,1e-07,1e-09,5,MSELoss(),,quadratic,400,Adam
9,1,0.5739247798919678,1.6873431840097497,0.5409247999999991,15.060459500000022,mean0_interpolated_g2_100_samples.pt,25,100,0.01,100,10,3,22,False,0.005,dopri5,1e-07,1e-09,5,MSELoss(),,quadratic,400,Adam
10,1,4.970428943634033,3.549691898092207,0.4462174000000232,24.40081270000003,mean0_interpolated_g2_100_samples.pt,25,150,0.01,100,10,3,22,False,0.005,dopri5,1e-07,1e-09,5,MSELoss(),,quadratic,400,Adam
11,1,20.752826690673828,5.57768955164885,0.4817426999999838,34.930008199999904,mean0_interpolated_g2_100_samples.pt,25,200,0.01,100,10,3,22,False,0.005,dopri5,1e-07,1e-09,5,MSELoss(),,quadratic,400,Adam
12,1,2.2998268604278564,2.778135212013809,0.1781027000000108,0.9407827999999654,mean0_interpolated_g8_100_samples.pt,25,10,0.01,100,10,3,22,False,0.005,dopri5,1e-07,1e-09,5,MSELoss(),,quadratic,400,Adam
13,1,1.1407769918441772,2.41800598090307,0.1741025000000036,2.036908799999992,mean0_interpolated_g8_100_samples.pt,25,20,0.01,100,10,3,22,False,0.005,dopri5,1e-07,1e-09,5,MSELoss(),,quadratic,400,Adam
14,1,0.6554026007652283,2.11874812964564,0.2760189999999909,6.467493800000113,mean0_interpolated_g8_100_samples.pt,25,50,0.01,100,10,3,22,False,0.005,dopri5,1e-07,1e-09,5,MSELoss(),,quadratic,400,Adam
15,1,0.6466953754425049,1.979852647006892,0.3742143999999996,15.352494299999876,mean0_interpolated_g8_100_samples.pt,25,100,0.01,100,10,3,22,False,0.005,dopri5,1e-07,1e-09,5,MSELoss(),,quadratic,400,Adam
16,1,1.0118213891983032,1.9417001630270108,0.6893115999999964,28.91253789999982,mean0_interpolated_g8_100_samples.pt,25,150,0.01,100,10,3,22,False,0.005,dopri5,1e-07,1e-09,5,MSELoss(),,quadratic,400,Adam
17,1,15.590691566467285,6.230878836502616,0.9443622000000005,39.69886029999998,mean0_interpolated_g8_100_samples.pt,25,200,0.01,100,10,3,22,False,0.005,dopri5,1e-07,1e-09,5,MSELoss(),,quadratic,400,Adam
