logid,runid,val_loss,Frechet_distance,inference_time,training_time,dataset,num_neurons,num_epochs,learning_rate,loss_coefficient,batch_size,batch_dur_idx,batch_range_idx,mert_batch,lambda,ODEmethod,rel_tol,abs_tol,val_freq,loss_function,regularization,interpolation_type,num_samples,optimizer
0,1,2.511230707168579,2.9320320487840794,0.1185600000000004,0.996497699999999,mean0_interpolated_g1_100_samples.pt,25,10,0.01,100,10,3,22,False,5e-05,dopri5,1e-07,1e-09,5,MSELoss(),l2,quadratic,400,Adam
1,1,1.194734811782837,2.2714077265333605,0.1966181000000002,1.942950999999999,mean0_interpolated_g1_100_samples.pt,25,20,0.01,100,10,3,22,False,5e-05,dopri5,1e-07,1e-09,5,MSELoss(),l2,quadratic,400,Adam
2,1,0.8425694704055786,1.9751223983438928,0.2518253000000001,6.248560100000008,mean0_interpolated_g1_100_samples.pt,25,50,0.01,100,10,3,22,False,5e-05,dopri5,1e-07,1e-09,5,MSELoss(),l2,quadratic,400,Adam
3,1,0.452240914106369,1.7550472181229158,0.5615006000000022,16.783381900000002,mean0_interpolated_g1_100_samples.pt,25,100,0.01,100,10,3,22,False,5e-05,dopri5,1e-07,1e-09,5,MSELoss(),l2,quadratic,400,Adam
4,1,1.4868180751800537,1.7392129035966892,1.388460099999996,27.01487600000001,mean0_interpolated_g1_100_samples.pt,25,150,0.01,100,10,3,22,False,5e-05,dopri5,1e-07,1e-09,5,MSELoss(),l2,quadratic,400,Adam
5,1,8.615224838256836,5.035995887527951,0.7859461999999979,37.55141790000006,mean0_interpolated_g1_100_samples.pt,25,200,0.01,100,10,3,22,False,5e-05,dopri5,1e-07,1e-09,5,MSELoss(),l2,quadratic,400,Adam
6,1,2.235135316848755,2.664698416642746,0.207592500000004,0.8282885000000135,mean0_interpolated_g2_100_samples.pt,25,10,0.01,100,10,3,22,False,5e-05,dopri5,1e-07,1e-09,5,MSELoss(),l2,quadratic,400,Adam
7,1,1.2785966396331787,2.298091529451015,0.2042857999999938,1.9826365000000263,mean0_interpolated_g2_100_samples.pt,25,20,0.01,100,10,3,22,False,5e-05,dopri5,1e-07,1e-09,5,MSELoss(),l2,quadratic,400,Adam
8,1,0.5593527555465698,1.960064265228845,0.2721042999999952,6.492781800000046,mean0_interpolated_g2_100_samples.pt,25,50,0.01,100,10,3,22,False,5e-05,dopri5,1e-07,1e-09,5,MSELoss(),l2,quadratic,400,Adam
9,1,0.7300655841827393,2.0108920605127323,0.4029216999999931,15.90468210000013,mean0_interpolated_g2_100_samples.pt,25,100,0.01,100,10,3,22,False,5e-05,dopri5,1e-07,1e-09,5,MSELoss(),l2,quadratic,400,Adam
10,1,9.353364944458008,5.188633778581777,0.371754100000004,25.29317120000009,mean0_interpolated_g2_100_samples.pt,25,150,0.01,100,10,3,22,False,5e-05,dopri5,1e-07,1e-09,5,MSELoss(),l2,quadratic,400,Adam
11,1,12.448927879333496,5.370359815123569,0.6348927000000231,35.11784210000009,mean0_interpolated_g2_100_samples.pt,25,200,0.01,100,10,3,22,False,5e-05,dopri5,1e-07,1e-09,5,MSELoss(),l2,quadratic,400,Adam
12,1,1.6800742149353027,2.517691539192438,0.1266753999999821,0.8322435999999698,mean0_interpolated_g8_100_samples.pt,25,10,0.01,100,10,3,22,False,5e-05,dopri5,1e-07,1e-09,5,MSELoss(),l2,quadratic,400,Adam
13,1,2.117483615875244,2.4907719534676565,0.1684654000000023,1.8045971999999324,mean0_interpolated_g8_100_samples.pt,25,20,0.01,100,10,3,22,False,5e-05,dopri5,1e-07,1e-09,5,MSELoss(),l2,quadratic,400,Adam
14,1,0.8550764322280884,2.086258006548649,0.2748606999999765,6.429507000000001,mean0_interpolated_g8_100_samples.pt,25,50,0.01,100,10,3,22,False,5e-05,dopri5,1e-07,1e-09,5,MSELoss(),l2,quadratic,400,Adam
15,1,0.7765958309173584,2.155475991122356,0.3516175000000032,14.972855299999964,mean0_interpolated_g8_100_samples.pt,25,100,0.01,100,10,3,22,False,5e-05,dopri5,1e-07,1e-09,5,MSELoss(),l2,quadratic,400,Adam
16,1,3.2780802249908447,3.4715763717889785,0.6359443000000056,24.51669090000001,mean0_interpolated_g8_100_samples.pt,25,150,0.01,100,10,3,22,False,5e-05,dopri5,1e-07,1e-09,5,MSELoss(),l2,quadratic,400,Adam
17,1,35.88973617553711,8.037398394369779,0.9005516,35.40916400000003,mean0_interpolated_g8_100_samples.pt,25,200,0.01,100,10,3,22,False,5e-05,dopri5,1e-07,1e-09,5,MSELoss(),l2,quadratic,400,Adam
18,2,1.6930934190750122,2.6614365135639027,0.1257334999999955,0.8142617000000314,mean0_interpolated_g1_100_samples.pt,25,10,0.01,100,10,3,22,False,5e-05,dopri5,1e-07,1e-09,5,MSELoss(),l1,quadratic,400,Adam
19,2,1.7435824871063232,2.4068007633007333,0.159550600000017,1.8008438999999612,mean0_interpolated_g1_100_samples.pt,25,20,0.01,100,10,3,22,False,5e-05,dopri5,1e-07,1e-09,5,MSELoss(),l1,quadratic,400,Adam
20,2,0.7984064817428589,2.1920216321759955,0.2684473999999852,6.404213899999888,mean0_interpolated_g1_100_samples.pt,25,50,0.01,100,10,3,22,False,5e-05,dopri5,1e-07,1e-09,5,MSELoss(),l1,quadratic,400,Adam
21,2,0.8301114439964294,2.093514104742721,0.3967011999999954,14.952923499999912,mean0_interpolated_g1_100_samples.pt,25,100,0.01,100,10,3,22,False,5e-05,dopri5,1e-07,1e-09,5,MSELoss(),l1,quadratic,400,Adam
22,2,24.612010955810547,6.593665212891855,0.4198342999999909,24.90045059999989,mean0_interpolated_g1_100_samples.pt,25,150,0.01,100,10,3,22,False,5e-05,dopri5,1e-07,1e-09,5,MSELoss(),l1,quadratic,400,Adam
23,2,50.27533721923828,9.04601991067172,0.9625347999999576,37.35567669999983,mean0_interpolated_g1_100_samples.pt,25,200,0.01,100,10,3,22,False,5e-05,dopri5,1e-07,1e-09,5,MSELoss(),l1,quadratic,400,Adam
24,2,1.2603435516357422,2.405023177463361,0.1649977999999805,1.3075548999999,mean0_interpolated_g2_100_samples.pt,25,10,0.01,100,10,3,22,False,5e-05,dopri5,1e-07,1e-09,5,MSELoss(),l1,quadratic,400,Adam
25,2,0.9058519005775452,2.132514093307344,0.2057930000000283,2.643590299999857,mean0_interpolated_g2_100_samples.pt,25,20,0.01,100,10,3,22,False,5e-05,dopri5,1e-07,1e-09,5,MSELoss(),l1,quadratic,400,Adam
26,2,0.6873826384544373,2.068196265354689,0.2618412999999577,7.127180299999964,mean0_interpolated_g2_100_samples.pt,25,50,0.01,100,10,3,22,False,5e-05,dopri5,1e-07,1e-09,5,MSELoss(),l1,quadratic,400,Adam
27,2,0.7664560675621033,1.9286874071342048,0.3626300000000242,16.24439069999994,mean0_interpolated_g2_100_samples.pt,25,100,0.01,100,10,3,22,False,5e-05,dopri5,1e-07,1e-09,5,MSELoss(),l1,quadratic,400,Adam
28,2,6.7179131507873535,4.503149057243979,0.5451889000000278,25.84965560000001,mean0_interpolated_g2_100_samples.pt,25,150,0.01,100,10,3,22,False,5e-05,dopri5,1e-07,1e-09,5,MSELoss(),l1,quadratic,400,Adam
29,2,45.438114166259766,7.811130919184738,0.5510618999999792,36.28257459999975,mean0_interpolated_g2_100_samples.pt,25,200,0.01,100,10,3,22,False,5e-05,dopri5,1e-07,1e-09,5,MSELoss(),l1,quadratic,400,Adam
