t;speed;angle;e_q_t;e_q_st
0.005;0.019959128;0.631020099;1.032335608;0.986558492
0.01;0.019863315;0.662303615;1.032297597;0.986214376
0.015;0.019714848;0.693394973;1.03227544;0.985656352
0.02;0.019516046;0.724213281;1.032296598;0.9848997
0.025;0.019269246;0.754681307;1.03238416;0.983961391
0.03;0.018976787;0.784725495;1.032557603;0.982859659
0.035;0.018641001;0.814275956;1.032833368;0.981613652
0.04;0.018264196;0.843266449;1.033225297;0.98024314
0.045;0.017848653;0.871634337;1.033744964;0.978768274
0.05;0.01739661;0.899320535;1.034401941;0.977209369
0.055;0.01691026;0.926269437;1.035203994;0.975586726
0.06;0.016391742;0.952428842;1.03615725;0.973920465
0.065;0.015843138;0.977749862;1.03726632;0.972230386
0.07;0.015266468;1.002186835;1.038534413;0.970535838
0.075;0.014663688;1.025697218;1.039963423;0.968855606
0.08;0.014036689;1.04824149;1.04155401;0.96720781
0.085;0.013387293;1.06978305;1.043305668;0.965609815
0.09;0.012717259;1.090288106;1.045216127;0.96407815
0.095;0.01202828;1.109725578;1.047169779;0.962625026
0.1;0.011322002;1.128067006;1.049077616;0.961251825
0.105;0.010600027;1.145286478;1.050937284;0.959957919
0.11;0.009863924;1.161360575;1.052751394;0.958743491
0.115;0.009115223;1.176268313;1.054522687;0.957609485
0.12;0.008355419;1.18999108;1.056254018;0.956557476
0.125;0.00758597;1.202512585;1.057948339;0.955589572
0.13;0.006808301;1.213818803;1.059608687;0.954708308
0.135;0.006023805;1.223897918;1.061238163;0.953916566
0.14;0.005233843;1.232740282;1.062839925;0.953217495
0.145;0.00443975;1.240338358;1.064417173;0.952614437
0.15;0.003642832;1.246686688;1.065973132;0.952110873
0.155;0.002844374;1.251781846;1.067511049;0.951710359
0.16;0.00204564;1.255622409;1.069034176;0.951416486
0.165;0.001247876;1.258208923;1.070545762;0.951232827
0.17;0.000452313;1.25954388;1.072049044;0.951162907
0.175;-0.000339829;1.259631697;1.073547236;0.951210162
0.18;-0.001127341;1.258478699;1.075043523;0.951377907
0.185;-0.001909015;1.256093109;1.076541047;0.951669311
0.19;-0.002683651;1.252485037;1.078042906;0.952087369
0.195;-0.003450047;1.247666485;1.079552138;0.952634875
0.2;-0.004206999;1.24165134;1.081071718;0.953314402
0.205;-0.004953301;1.234455384;1.082580311;0.954127668
0.21;-0.005687735;1.226096301;1.084040217;0.955072972
0.215;-0.006409073;1.216593694;1.085439637;0.956146748
0.22;-0.007116067;1.205969115;1.0867674;0.957344509
0.225;-0.007807454;1.194246083;1.088012683;0.958660916
0.23;-0.008481956;1.181450115;1.089165086;0.960089842
0.235;-0.009138276;1.167608752;1.090214704;0.961624446
0.24;-0.009775104;1.15275158;1.091152195;0.963257234
0.245;-0.010391121;1.136910253;1.091968844;0.964980124
0.25;-0.010984996;1.120118505;1.092656626;0.966784515
0.255;-0.011555401;1.102412159;1.093208262;0.968661345
0.26;-0.012101006;1.083829127;1.093617273;0.970601155
0.265;-0.012620493;1.064409402;1.093878022;0.972594154
0.27;-0.01311256;1.044195036;1.093985759;0.97463028
0.275;-0.01357593;1.023230106;1.093936653;0.976699261
0.28;-0.01400936;1.001560671;1.093727821;0.97879068
0.285;-0.014411649;0.97923471;1.093357342;0.980894035
0.29;-0.01478165;0.956302048;1.092824274;0.982998805
0.295;-0.015118278;0.932814262;1.092128654;0.985094512
0.3;-0.015420523;0.90882458;1.091271494;0.987170783
0.305;-0.015687455;0.884387752;1.090254766;0.989217416
0.31;-0.015918239;0.859559915;1.089081378;0.991224441
